IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.224.163,3,2,0.33,121.35,0.00,N/A
172.65.227.22,3,2,0.33,121.43,0.00,N/A
104.20.28.87,3,2,0.33,121.57,0.00,N/A
172.67.70.240,3,2,0.33,121.64,0.00,N/A
104.20.18.149,3,2,0.33,122.55,0.00,N/A
162.159.134.214,3,2,0.33,122.83,0.00,N/A
104.20.19.59,3,2,0.33,123.14,0.00,N/A
172.65.238.51,3,2,0.33,123.19,0.00,N/A
104.26.2.39,3,2,0.33,123.20,0.00,N/A
162.159.150.170,3,2,0.33,123.36,0.00,N/A
104.20.21.19,3,2,0.33,123.37,0.00,N/A
104.26.14.90,3,2,0.33,123.57,0.00,N/A
162.159.156.116,3,2,0.33,123.70,0.00,N/A
172.65.235.3,3,2,0.33,123.72,0.00,N/A
172.67.77.9,3,2,0.33,123.97,0.00,N/A
172.67.71.36,3,2,0.33,124.16,0.00,N/A
172.65.225.84,3,2,0.33,124.37,0.00,N/A
172.65.230.122,3,2,0.33,124.73,0.00,N/A
162.159.129.89,3,2,0.33,125.17,0.00,N/A
172.67.79.3,3,2,0.33,125.51,0.00,N/A
162.159.128.68,3,2,0.33,125.70,0.00,N/A
104.20.22.90,3,2,0.33,125.71,0.00,N/A
172.65.239.152,3,2,0.33,125.75,0.00,N/A
104.20.30.1,3,2,0.33,125.96,0.00,N/A
172.65.231.164,3,2,0.33,125.99,0.00,N/A
172.65.237.177,3,2,0.33,125.99,0.00,N/A
104.26.9.107,3,2,0.33,126.31,0.00,N/A
162.159.158.51,3,2,0.33,126.42,0.00,N/A
172.67.76.31,3,2,0.33,126.51,0.00,N/A
162.159.144.21,3,2,0.33,126.68,0.00,N/A
172.67.66.156,3,2,0.33,126.92,0.00,N/A
104.20.31.236,3,2,0.33,127.32,0.00,N/A
104.18.52.127,3,2,0.33,172.27,0.00,N/A
104.18.53.250,3,2,0.33,175.38,0.00,N/A
104.21.238.1,3,2,0.33,179.70,0.00,N/A
104.18.59.192,3,2,0.33,180.09,0.00,N/A
104.21.227.4,3,2,0.33,180.67,0.00,N/A
104.19.165.130,3,2,0.33,182.83,0.00,N/A
104.19.84.183,3,2,0.33,183.01,0.00,N/A
172.66.195.29,3,2,0.33,183.09,0.00,N/A
104.21.72.32,3,2,0.33,183.36,0.00,N/A
172.65.151.243,3,2,0.33,183.69,0.00,N/A
104.19.219.193,3,2,0.33,183.74,0.00,N/A
104.19.91.6,3,2,0.33,184.01,0.00,N/A
104.18.223.232,3,2,0.33,184.14,0.00,N/A
104.19.186.49,3,2,0.33,184.15,0.00,N/A
172.67.191.62,3,2,0.33,184.79,0.00,N/A
104.25.146.129,3,2,0.33,185.24,0.00,N/A
104.16.245.115,3,2,0.33,185.49,0.00,N/A
172.65.251.27,3,2,0.33,185.70,0.00,N/A
104.25.231.52,3,2,0.33,186.20,0.00,N/A
104.17.54.7,3,2,0.33,186.32,0.00,N/A
104.16.177.157,3,2,0.33,186.45,0.00,N/A
172.67.153.98,3,2,0.33,186.47,0.00,N/A
104.19.101.30,3,2,0.33,186.59,0.00,N/A
172.65.192.104,3,2,0.33,186.79,0.00,N/A
104.24.81.245,3,2,0.33,186.82,0.00,N/A
104.27.108.77,3,2,0.33,186.92,0.00,N/A
104.19.32.206,3,2,0.33,187.15,0.00,N/A
104.25.189.14,3,2,0.33,187.18,0.00,N/A
104.16.91.122,3,2,0.33,187.22,0.00,N/A
190.93.246.139,3,2,0.33,187.27,0.00,N/A
172.66.211.197,3,2,0.33,187.30,0.00,N/A
104.18.68.108,3,2,0.33,187.33,0.00,N/A
141.101.115.197,3,2,0.33,187.37,0.00,N/A
104.25.196.29,3,2,0.33,187.56,0.00,N/A
104.18.240.254,3,2,0.33,187.64,0.00,N/A
104.17.17.101,3,2,0.33,187.70,0.00,N/A
104.19.222.208,3,2,0.33,187.70,0.00,N/A
172.67.210.201,3,2,0.33,187.78,0.00,N/A
104.16.19.82,3,2,0.33,187.79,0.00,N/A
104.24.153.122,3,2,0.33,188.21,0.00,N/A
104.25.91.82,3,2,0.33,188.24,0.00,N/A
104.18.132.104,3,2,0.33,188.28,0.00,N/A
104.25.158.22,3,2,0.33,188.34,0.00,N/A
172.64.100.140,3,2,0.33,188.47,0.00,N/A
162.159.34.230,3,2,0.33,188.54,0.00,N/A
104.16.226.205,3,2,0.33,188.59,0.00,N/A
104.19.80.235,3,2,0.33,188.60,0.00,N/A
104.19.33.32,3,2,0.33,188.61,0.00,N/A
172.65.184.168,3,2,0.33,188.73,0.00,N/A
104.19.10.18,3,2,0.33,188.79,0.00,N/A
104.20.44.251,3,2,0.33,188.82,0.00,N/A
104.21.2.24,3,2,0.33,188.89,0.00,N/A
104.24.145.100,3,2,0.33,188.90,0.00,N/A
104.19.251.173,3,2,0.33,188.93,0.00,N/A
104.27.59.190,3,2,0.33,189.11,0.00,N/A
172.67.205.241,3,2,0.33,189.19,0.00,N/A
104.18.212.212,3,2,0.33,189.32,0.00,N/A
162.159.206.215,3,2,0.33,189.36,0.00,N/A
104.18.224.173,3,2,0.33,189.37,0.00,N/A
104.25.232.95,3,2,0.33,189.38,0.00,N/A
104.16.223.70,3,2,0.33,189.38,0.00,N/A
104.18.227.122,3,2,0.33,189.65,0.00,N/A
104.16.107.28,3,2,0.33,189.80,0.00,N/A
104.27.65.138,3,2,0.33,189.82,0.00,N/A
104.25.229.223,3,2,0.33,189.87,0.00,N/A
162.159.11.240,3,2,0.33,189.90,0.00,N/A
172.65.188.143,3,2,0.33,189.95,0.00,N/A
104.21.198.178,3,2,0.33,189.95,0.00,N/A
104.19.192.51,3,2,0.33,190.22,0.00,N/A
172.65.193.98,3,2,0.33,190.31,0.00,N/A
104.18.66.220,3,2,0.33,190.31,0.00,N/A
104.18.107.216,3,2,0.33,190.33,0.00,N/A
104.27.206.229,3,2,0.33,190.50,0.00,N/A
104.24.229.43,3,2,0.33,190.51,0.00,N/A
104.19.120.214,3,2,0.33,190.64,0.00,N/A
104.25.187.194,3,2,0.33,190.65,0.00,N/A
104.25.123.116,3,2,0.33,190.67,0.00,N/A
104.17.187.218,3,2,0.33,190.70,0.00,N/A
104.25.246.177,3,2,0.33,190.91,0.00,N/A
104.16.233.162,3,2,0.33,190.92,0.00,N/A
162.159.248.108,3,2,0.33,190.94,0.00,N/A
104.19.190.85,3,2,0.33,191.15,0.00,N/A
104.19.193.99,3,2,0.33,191.17,0.00,N/A
172.64.74.113,3,2,0.33,191.19,0.00,N/A
104.17.168.66,3,2,0.33,191.30,0.00,N/A
104.16.23.225,3,2,0.33,191.42,0.00,N/A
172.67.209.122,3,2,0.33,191.48,0.00,N/A
104.19.48.107,3,2,0.33,191.49,0.00,N/A
104.24.195.113,3,2,0.33,191.68,0.00,N/A
162.159.39.63,3,2,0.33,191.84,0.00,N/A
104.19.46.191,3,2,0.33,191.94,0.00,N/A
104.17.217.116,3,2,0.33,192.06,0.00,N/A
104.19.129.45,3,2,0.33,192.07,0.00,N/A
104.21.103.30,3,2,0.33,192.20,0.00,N/A
104.17.104.163,3,2,0.33,192.22,0.00,N/A
104.18.15.245,3,2,0.33,192.23,0.00,N/A
104.25.54.81,3,2,0.33,192.29,0.00,N/A
104.18.255.59,3,2,0.33,192.30,0.00,N/A
104.21.44.109,3,2,0.33,192.40,0.00,N/A
104.25.144.238,3,2,0.33,192.53,0.00,N/A
172.65.41.105,3,2,0.33,192.54,0.00,N/A
172.64.48.118,3,2,0.33,192.57,0.00,N/A
104.19.220.254,3,2,0.33,192.78,0.00,N/A
104.24.139.12,3,2,0.33,192.81,0.00,N/A
104.27.48.59,3,2,0.33,192.87,0.00,N/A
104.17.212.39,3,2,0.33,192.94,0.00,N/A
104.20.51.5,3,2,0.33,192.97,0.00,N/A
104.25.215.41,3,2,0.33,193.06,0.00,N/A
104.18.8.156,3,2,0.33,193.08,0.00,N/A
104.19.2.125,3,2,0.33,193.08,0.00,N/A
104.18.196.187,3,2,0.33,193.15,0.00,N/A
104.24.42.89,3,2,0.33,193.22,0.00,N/A
104.16.138.199,3,2,0.33,193.26,0.00,N/A
104.18.127.95,3,2,0.33,193.27,0.00,N/A
162.159.232.183,3,2,0.33,193.31,0.00,N/A
172.65.31.47,3,2,0.33,193.32,0.00,N/A
104.21.206.251,3,2,0.33,193.33,0.00,N/A
104.19.138.227,3,2,0.33,193.44,0.00,N/A
172.67.150.172,3,2,0.33,193.45,0.00,N/A
104.17.23.84,3,2,0.33,193.49,0.00,N/A
172.67.89.45,3,2,0.33,193.50,0.00,N/A
104.16.131.5,3,2,0.33,193.54,0.00,N/A
104.18.72.217,3,2,0.33,193.61,0.00,N/A
104.16.231.88,3,2,0.33,193.66,0.00,N/A
104.16.216.123,3,2,0.33,193.70,0.00,N/A
104.21.85.127,3,2,0.33,193.78,0.00,N/A
104.24.23.187,3,2,0.33,193.78,0.00,N/A
104.27.110.90,3,2,0.33,193.83,0.00,N/A
104.16.199.24,3,2,0.33,194.05,0.00,N/A
104.19.168.2,3,2,0.33,194.08,0.00,N/A
172.65.211.122,3,2,0.33,194.12,0.00,N/A
172.65.126.72,3,2,0.33,194.17,0.00,N/A
104.17.121.47,3,2,0.33,194.19,0.00,N/A
104.17.110.76,3,2,0.33,194.20,0.00,N/A
172.66.149.186,3,2,0.33,194.22,0.00,N/A
172.65.164.9,3,2,0.33,194.32,0.00,N/A
104.24.26.108,3,2,0.33,194.33,0.00,N/A
104.19.205.200,3,2,0.33,194.34,0.00,N/A
104.19.221.55,3,2,0.33,194.37,0.00,N/A
104.18.213.252,3,2,0.33,194.43,0.00,N/A
104.25.120.123,3,2,0.33,194.54,0.00,N/A
104.18.56.96,3,2,0.33,194.58,0.00,N/A
104.25.159.213,3,2,0.33,194.59,0.00,N/A
173.245.49.149,3,2,0.33,194.62,0.00,N/A
172.64.148.59,3,2,0.33,194.63,0.00,N/A
104.20.1.150,3,2,0.33,194.66,0.00,N/A
104.20.55.162,3,2,0.33,194.69,0.00,N/A
172.65.9.202,3,2,0.33,194.71,0.00,N/A
104.16.205.191,3,2,0.33,194.73,0.00,N/A
104.27.77.189,3,2,0.33,194.74,0.00,N/A
104.18.112.57,3,2,0.33,194.76,0.00,N/A
104.19.12.97,3,2,0.33,194.81,0.00,N/A
172.67.81.61,3,2,0.33,194.82,0.00,N/A
104.16.200.130,3,2,0.33,194.87,0.00,N/A
104.25.241.46,3,2,0.33,194.90,0.00,N/A
104.17.229.196,3,2,0.33,194.95,0.00,N/A
104.16.112.201,3,2,0.33,195.04,0.00,N/A
104.27.197.108,3,2,0.33,195.13,0.00,N/A
104.24.196.131,3,2,0.33,195.20,0.00,N/A
104.25.168.93,3,2,0.33,195.22,0.00,N/A
104.19.202.181,3,2,0.33,195.26,0.00,N/A
108.162.193.196,3,2,0.33,195.30,0.00,N/A
104.21.197.57,3,2,0.33,195.33,0.00,N/A
172.66.152.147,3,2,0.33,195.35,0.00,N/A
104.19.240.251,3,2,0.33,195.36,0.00,N/A
104.17.83.5,3,2,0.33,195.36,0.00,N/A
104.17.230.48,3,2,0.33,195.37,0.00,N/A
104.19.44.91,3,2,0.33,195.39,0.00,N/A
104.16.172.98,3,2,0.33,195.42,0.00,N/A
104.18.144.148,3,2,0.33,195.44,0.00,N/A
172.67.237.166,3,2,0.33,195.53,0.00,N/A
172.65.109.219,3,2,0.33,195.57,0.00,N/A
172.64.149.155,3,2,0.33,195.59,0.00,N/A
104.25.213.35,3,2,0.33,195.64,0.00,N/A
104.17.252.124,3,2,0.33,195.73,0.00,N/A
104.18.148.224,3,2,0.33,195.76,0.00,N/A
104.24.230.237,3,2,0.33,195.77,0.00,N/A
104.27.119.195,3,2,0.33,195.78,0.00,N/A
104.25.1.170,3,2,0.33,195.82,0.00,N/A
104.21.100.87,3,2,0.33,195.83,0.00,N/A
104.18.190.166,3,2,0.33,195.85,0.00,N/A
104.20.57.67,3,2,0.33,195.85,0.00,N/A
172.64.185.200,3,2,0.33,195.85,0.00,N/A
162.159.193.56,3,2,0.33,195.88,0.00,N/A
104.27.50.169,3,2,0.33,195.89,0.00,N/A
104.21.223.123,3,2,0.33,195.90,0.00,N/A
104.24.169.250,3,2,0.33,195.98,0.00,N/A
104.16.26.163,3,2,0.33,196.03,0.00,N/A
104.17.234.10,3,2,0.33,196.06,0.00,N/A
104.17.123.46,3,2,0.33,196.12,0.00,N/A
104.25.129.152,3,2,0.33,196.15,0.00,N/A
172.64.188.233,3,2,0.33,196.22,0.00,N/A
104.21.27.90,3,2,0.33,196.27,0.00,N/A
104.24.146.40,3,2,0.33,196.30,0.00,N/A
172.65.83.100,3,2,0.33,196.32,0.00,N/A
104.18.171.149,3,2,0.33,196.36,0.00,N/A
104.17.32.92,3,2,0.33,196.38,0.00,N/A
104.19.223.71,3,2,0.33,196.41,0.00,N/A
104.21.26.133,3,2,0.33,196.45,0.00,N/A
104.27.201.46,3,2,0.33,196.45,0.00,N/A
104.18.175.169,3,2,0.33,196.48,0.00,N/A
104.27.105.224,3,2,0.33,196.52,0.00,N/A
104.25.207.40,3,2,0.33,196.54,0.00,N/A
104.16.242.248,3,2,0.33,196.69,0.00,N/A
104.17.199.234,3,2,0.33,196.69,0.00,N/A
172.65.169.247,3,2,0.33,196.70,0.00,N/A
104.16.129.87,3,2,0.33,196.77,0.00,N/A
172.67.80.13,3,2,0.33,196.77,0.00,N/A
104.17.72.73,3,2,0.33,196.82,0.00,N/A
104.25.179.122,3,2,0.33,196.87,0.00,N/A
104.16.120.205,3,2,0.33,196.88,0.00,N/A
104.24.218.109,3,2,0.33,196.89,0.00,N/A
104.27.75.171,3,2,0.33,197.00,0.00,N/A
104.24.183.253,3,2,0.33,197.03,0.00,N/A
104.19.201.186,3,2,0.33,197.14,0.00,N/A
104.18.248.125,3,2,0.33,197.18,0.00,N/A
104.16.154.243,3,2,0.33,197.19,0.00,N/A
104.18.104.236,3,2,0.33,197.22,0.00,N/A
104.18.28.12,3,2,0.33,197.23,0.00,N/A
104.19.121.102,3,2,0.33,197.37,0.00,N/A
104.24.240.87,3,2,0.33,197.43,0.00,N/A
104.17.88.209,3,2,0.33,197.48,0.00,N/A
104.25.218.54,3,2,0.33,197.48,0.00,N/A
104.18.78.74,3,2,0.33,197.49,0.00,N/A
104.27.22.143,3,2,0.33,197.54,0.00,N/A
172.65.46.146,3,2,0.33,197.54,0.00,N/A
104.20.33.36,3,2,0.33,197.62,0.00,N/A
172.65.165.205,3,2,0.33,197.73,0.00,N/A
104.25.248.18,3,2,0.33,197.84,0.00,N/A
104.16.168.194,3,2,0.33,197.87,0.00,N/A
104.25.105.138,3,2,0.33,197.97,0.00,N/A
104.17.69.252,3,2,0.33,198.10,0.00,N/A
104.17.42.146,3,2,0.33,198.14,0.00,N/A
104.18.228.199,3,2,0.33,198.17,0.00,N/A
104.19.134.80,3,2,0.33,198.17,0.00,N/A
104.17.78.132,3,2,0.33,198.20,0.00,N/A
104.21.239.145,3,2,0.33,198.32,0.00,N/A
104.17.37.181,3,2,0.33,198.33,0.00,N/A
104.25.72.165,3,2,0.33,198.35,0.00,N/A
104.16.31.148,3,2,0.33,198.48,0.00,N/A
104.21.70.64,3,2,0.33,198.50,0.00,N/A
104.21.215.62,3,2,0.33,198.64,0.00,N/A
104.17.94.170,3,2,0.33,198.69,0.00,N/A
104.24.144.66,3,2,0.33,198.69,0.00,N/A
104.25.85.60,3,2,0.33,198.74,0.00,N/A
172.66.204.56,3,2,0.33,198.77,0.00,N/A
172.65.172.211,3,2,0.33,198.79,0.00,N/A
104.20.2.228,3,2,0.33,198.83,0.00,N/A
104.25.66.228,3,2,0.33,198.87,0.00,N/A
104.18.125.183,3,2,0.33,198.96,0.00,N/A
104.17.12.119,3,2,0.33,198.99,0.00,N/A
172.65.122.189,3,2,0.33,199.04,0.00,N/A
162.159.46.93,3,2,0.33,199.04,0.00,N/A
104.24.217.187,3,2,0.33,199.05,0.00,N/A
104.25.98.158,3,2,0.33,199.06,0.00,N/A
104.21.18.17,3,2,0.33,199.08,0.00,N/A
104.24.2.46,3,2,0.33,199.15,0.00,N/A
104.18.178.112,3,2,0.33,199.32,0.00,N/A
104.25.71.76,3,2,0.33,199.36,0.00,N/A
104.21.88.48,3,2,0.33,199.41,0.00,N/A
172.65.34.2,3,2,0.33,199.44,0.00,N/A
104.17.127.106,3,2,0.33,199.47,0.00,N/A
104.19.241.117,3,2,0.33,199.54,0.00,N/A
104.20.0.89,3,2,0.33,199.54,0.00,N/A
172.67.223.118,3,2,0.33,199.61,0.00,N/A
104.17.35.245,3,2,0.33,199.61,0.00,N/A
104.17.103.92,3,2,0.33,199.62,0.00,N/A
104.18.111.201,3,2,0.33,199.77,0.00,N/A
172.67.170.78,3,2,0.33,199.78,0.00,N/A
104.17.205.42,3,2,0.33,199.85,0.00,N/A
104.18.195.124,3,2,0.33,199.94,0.00,N/A
104.18.198.77,3,2,0.33,199.95,0.00,N/A
104.25.27.212,3,2,0.33,199.95,0.00,N/A
104.17.162.23,3,2,0.33,200.06,0.00,N/A
172.66.42.223,3,2,0.33,200.09,0.00,N/A
104.16.75.193,3,2,0.33,200.16,0.00,N/A
104.17.186.199,3,2,0.33,200.17,0.00,N/A
172.66.172.240,3,2,0.33,200.27,0.00,N/A
104.18.141.7,3,2,0.33,200.41,0.00,N/A
172.67.163.156,3,2,0.33,200.44,0.00,N/A
104.19.255.198,3,2,0.33,200.45,0.00,N/A
104.18.209.10,3,2,0.33,200.45,0.00,N/A
104.17.1.178,3,2,0.33,200.62,0.00,N/A
172.67.201.167,3,2,0.33,200.65,0.00,N/A
104.24.29.221,3,2,0.33,200.69,0.00,N/A
172.65.1.3,3,2,0.33,200.71,0.00,N/A
104.18.33.119,3,2,0.33,200.77,0.00,N/A
162.159.4.183,3,2,0.33,200.82,0.00,N/A
162.159.58.66,3,2,0.33,200.87,0.00,N/A
104.17.244.248,3,2,0.33,200.89,0.00,N/A
172.65.92.49,3,2,0.33,200.91,0.00,N/A
172.67.202.167,3,2,0.33,200.92,0.00,N/A
104.16.222.250,3,2,0.33,200.96,0.00,N/A
172.66.154.32,3,2,0.33,201.08,0.00,N/A
104.24.198.111,3,2,0.33,201.15,0.00,N/A
172.67.203.22,3,2,0.33,201.17,0.00,N/A
172.64.101.1,3,2,0.33,201.21,0.00,N/A
104.17.60.225,3,2,0.33,201.43,0.00,N/A
104.21.202.225,3,2,0.33,201.43,0.00,N/A
104.25.235.16,3,2,0.33,201.50,0.00,N/A
104.24.215.190,3,2,0.33,201.58,0.00,N/A
104.24.39.249,3,2,0.33,201.60,0.00,N/A
104.24.74.61,3,2,0.33,201.62,0.00,N/A
104.16.136.108,3,2,0.33,201.72,0.00,N/A
104.17.84.196,3,2,0.33,201.93,0.00,N/A
104.17.214.101,3,2,0.33,201.98,0.00,N/A
162.159.42.211,3,2,0.33,202.00,0.00,N/A
104.25.220.164,3,2,0.33,202.02,0.00,N/A
104.18.241.51,3,2,0.33,202.06,0.00,N/A
172.65.217.253,3,2,0.33,202.15,0.00,N/A
104.18.166.80,3,2,0.33,202.18,0.00,N/A
104.27.69.79,3,2,0.33,202.23,0.00,N/A
172.67.215.238,3,2,0.33,202.39,0.00,N/A
104.19.77.109,3,2,0.33,202.45,0.00,N/A
104.18.49.117,3,2,0.33,202.51,0.00,N/A
104.21.34.96,3,2,0.33,202.51,0.00,N/A
172.65.95.42,3,2,0.33,202.56,0.00,N/A
104.18.37.18,3,2,0.33,202.59,0.00,N/A
172.65.125.197,3,2,0.33,202.76,0.00,N/A
104.24.239.224,3,2,0.33,202.77,0.00,N/A
172.64.147.185,3,2,0.33,202.79,0.00,N/A
104.17.254.161,3,2,0.33,202.91,0.00,N/A
172.67.180.121,3,2,0.33,202.92,0.00,N/A
104.19.254.71,3,2,0.33,202.95,0.00,N/A
172.65.160.252,3,2,0.33,202.95,0.00,N/A
104.19.104.6,3,2,0.33,203.00,0.00,N/A
104.19.179.234,3,2,0.33,203.01,0.00,N/A
104.25.45.163,3,2,0.33,203.06,0.00,N/A
104.19.30.47,3,2,0.33,203.09,0.00,N/A
104.25.147.17,3,2,0.33,203.13,0.00,N/A
104.24.206.30,3,2,0.33,203.14,0.00,N/A
104.16.94.197,3,2,0.33,203.21,0.00,N/A
104.16.54.115,3,2,0.33,203.27,0.00,N/A
162.159.27.50,3,2,0.33,203.53,0.00,N/A
172.65.85.14,3,2,0.33,203.64,0.00,N/A
104.19.164.152,3,2,0.33,203.88,0.00,N/A
104.24.86.219,3,2,0.33,203.91,0.00,N/A
198.41.195.72,3,2,0.33,203.95,0.00,N/A
104.27.54.24,3,2,0.33,204.00,0.00,N/A
104.19.154.89,3,2,0.33,204.41,0.00,N/A
104.25.162.136,3,2,0.33,204.41,0.00,N/A
172.65.187.132,3,2,0.33,204.59,0.00,N/A
172.66.155.73,3,2,0.33,204.59,0.00,N/A
172.64.157.109,3,2,0.33,204.63,0.00,N/A
104.16.158.57,3,2,0.33,204.68,0.00,N/A
104.21.10.177,3,2,0.33,204.71,0.00,N/A
104.25.167.134,3,2,0.33,204.88,0.00,N/A
104.19.78.177,3,2,0.33,204.91,0.00,N/A
104.24.162.207,3,2,0.33,205.01,0.00,N/A
104.17.77.170,3,2,0.33,205.17,0.00,N/A
104.19.248.3,3,2,0.33,205.20,0.00,N/A
104.17.26.121,3,2,0.33,205.43,0.00,N/A
104.16.240.141,3,2,0.33,205.56,0.00,N/A
104.18.34.228,3,2,0.33,205.70,0.00,N/A
104.18.29.67,3,2,0.33,205.85,0.00,N/A
172.66.174.194,3,2,0.33,206.42,0.00,N/A
172.65.23.7,3,2,0.33,206.43,0.00,N/A
104.25.175.239,3,2,0.33,206.64,0.00,N/A
104.16.50.252,3,2,0.33,206.75,0.00,N/A
104.19.130.212,3,2,0.33,206.96,0.00,N/A
104.17.243.200,3,2,0.33,207.41,0.00,N/A
104.16.83.140,3,2,0.33,207.49,0.00,N/A
104.19.61.247,3,2,0.33,207.53,0.00,N/A
104.24.59.64,3,2,0.33,207.85,0.00,N/A
104.17.91.73,3,2,0.33,208.78,0.00,N/A
104.24.58.167,3,2,0.33,209.65,0.00,N/A
104.19.155.179,3,2,0.33,209.94,0.00,N/A
162.159.48.2,3,2,0.33,211.31,0.00,N/A
104.17.192.126,3,2,0.33,213.79,0.00,N/A
162.159.41.165,3,2,0.33,214.25,0.00,N/A
104.17.180.61,3,2,0.33,214.37,0.00,N/A
104.16.249.20,3,2,0.33,214.58,0.00,N/A
104.17.233.186,3,2,0.33,215.34,0.00,N/A
104.17.160.90,3,2,0.33,215.96,0.00,N/A
104.18.27.155,3,2,0.33,216.17,0.00,N/A
104.17.200.137,3,2,0.33,217.40,0.00,N/A
172.66.209.252,3,2,0.33,217.88,0.00,N/A
104.17.241.34,3,2,0.33,218.35,0.00,N/A
104.17.249.43,3,2,0.33,219.00,0.00,N/A
104.17.248.204,3,2,0.33,219.45,0.00,N/A
172.66.196.222,3,2,0.33,219.63,0.00,N/A
162.159.90.100,3,2,0.33,219.85,0.00,N/A
104.17.178.78,3,2,0.33,220.21,0.00,N/A
104.24.25.81,3,2,0.33,220.25,0.00,N/A
198.41.218.3,3,2,0.33,220.36,0.00,N/A
104.18.26.36,3,2,0.33,220.84,0.00,N/A
162.159.36.61,3,2,0.33,220.95,0.00,N/A
104.17.222.168,3,2,0.33,222.13,0.00,N/A
162.159.56.247,3,2,0.33,223.39,0.00,N/A
104.18.20.194,3,2,0.33,223.73,0.00,N/A
104.24.161.209,3,2,0.33,224.62,0.00,N/A
104.17.190.137,3,2,0.33,224.64,0.00,N/A
104.24.5.177,3,2,0.33,224.70,0.00,N/A
104.24.38.223,3,2,0.33,225.22,0.00,N/A
104.17.235.94,3,2,0.33,225.39,0.00,N/A
104.17.176.112,3,2,0.33,225.94,0.00,N/A
104.18.5.79,3,2,0.33,226.34,0.00,N/A
104.18.46.242,3,2,0.33,226.40,0.00,N/A
162.159.33.123,3,2,0.33,226.57,0.00,N/A
104.24.18.233,3,2,0.33,226.75,0.00,N/A
172.66.163.235,3,2,0.33,226.79,0.00,N/A
104.19.27.208,3,2,0.33,226.85,0.00,N/A
104.24.37.55,3,2,0.33,227.31,0.00,N/A
172.66.138.152,3,2,0.33,227.33,0.00,N/A
104.18.3.243,3,2,0.33,227.56,0.00,N/A
104.18.2.79,3,2,0.33,228.81,0.00,N/A
104.21.45.4,3,2,0.33,228.82,0.00,N/A
104.25.195.119,3,2,0.33,228.95,0.00,N/A
104.25.23.150,3,2,0.33,229.00,0.00,N/A
172.64.154.158,3,2,0.33,229.03,0.00,N/A
104.17.85.227,3,2,0.33,229.14,0.00,N/A
172.67.141.177,3,2,0.33,229.31,0.00,N/A
104.24.70.149,3,2,0.33,229.80,0.00,N/A
104.17.219.103,3,2,0.33,229.91,0.00,N/A
104.18.11.132,3,2,0.33,229.94,0.00,N/A
104.24.174.178,3,2,0.33,229.97,0.00,N/A
172.65.8.190,3,2,0.33,230.09,0.00,N/A
172.64.94.13,3,2,0.33,230.12,0.00,N/A
104.25.227.190,3,2,0.33,230.24,0.00,N/A
104.18.176.38,3,2,0.33,230.24,0.00,N/A
172.66.153.61,3,2,0.33,230.64,0.00,N/A
104.27.98.69,3,2,0.33,230.79,0.00,N/A
104.16.155.115,3,2,0.33,230.83,0.00,N/A
104.25.111.246,3,2,0.33,230.90,0.00,N/A
172.65.168.0,3,2,0.33,231.06,0.00,N/A
104.18.254.21,3,2,0.33,231.08,0.00,N/A
104.24.6.15,3,2,0.33,231.13,0.00,N/A
104.27.92.130,3,2,0.33,231.19,0.00,N/A
104.17.171.154,3,2,0.33,231.22,0.00,N/A
104.19.225.171,3,2,0.33,231.39,0.00,N/A
104.20.14.158,3,2,0.33,231.46,0.00,N/A
162.159.44.111,3,2,0.33,231.62,0.00,N/A
104.19.71.107,3,2,0.33,231.93,0.00,N/A
198.41.200.41,3,2,0.33,232.03,0.00,N/A
104.27.203.109,3,2,0.33,232.15,0.00,N/A
172.65.70.114,3,2,0.33,232.20,0.00,N/A
104.27.100.181,3,2,0.33,232.22,0.00,N/A
104.17.116.9,3,2,0.33,232.31,0.00,N/A
172.64.145.57,3,2,0.33,232.44,0.00,N/A
172.67.233.169,3,2,0.33,232.51,0.00,N/A
172.65.56.147,3,2,0.33,232.54,0.00,N/A
104.17.20.130,3,2,0.33,232.69,0.00,N/A
104.20.63.150,3,2,0.33,232.74,0.00,N/A
104.25.225.134,3,2,0.33,232.84,0.00,N/A
172.65.206.220,3,2,0.33,232.89,0.00,N/A
104.24.77.230,3,2,0.33,232.89,0.00,N/A
172.65.182.86,3,2,0.33,232.92,0.00,N/A
172.67.253.85,3,2,0.33,232.93,0.00,N/A
172.65.159.173,3,2,0.33,233.03,0.00,N/A
104.24.67.75,3,2,0.33,233.04,0.00,N/A
104.16.171.229,3,2,0.33,233.21,0.00,N/A
104.25.102.186,3,2,0.33,233.21,0.00,N/A
198.41.217.34,3,2,0.33,233.22,0.00,N/A
104.25.149.160,3,2,0.33,233.38,0.00,N/A
104.27.42.162,3,2,0.33,233.41,0.00,N/A
172.65.49.68,3,2,0.33,233.44,0.00,N/A
104.21.63.86,3,2,0.33,233.47,0.00,N/A
172.65.66.226,3,2,0.33,233.51,0.00,N/A
104.25.174.155,3,2,0.33,233.56,0.00,N/A
104.24.66.175,3,2,0.33,233.58,0.00,N/A
172.65.154.75,3,2,0.33,233.60,0.00,N/A
172.67.121.193,3,2,0.33,233.64,0.00,N/A
104.16.246.3,3,2,0.33,233.65,0.00,N/A
104.25.53.59,3,2,0.33,233.67,0.00,N/A
104.18.0.7,3,2,0.33,233.73,0.00,N/A
172.64.91.89,3,2,0.33,233.80,0.00,N/A
